ProdID,CoordID,Name,Latitude,Longitude,PixelX,PixelY,Date(yyyy-MM-dd),Time(HH_mm_ss),rBRR_01,rBRR_02,rBRR_03,rBRR_04,rBRR_05,rBRR_06,rBRR_07,rBRR_08,rBRR_09,rBRR_10,rBRR_11,rBRR_12,rBRR_13,rBRR_14,rBRR_15,rBRR_16,rBRR_17,rBRR_18,rBRR_19,rBRR_20,rBRR_21,rtoa_01,rtoa_02,rtoa_03,rtoa_04,rtoa_05,rtoa_06,rtoa_07,rtoa_08,rtoa_09,rtoa_10,rtoa_11,rtoa_12,rtoa_13,rtoa_14,rtoa_15,rtoa_16,rtoa_17,rtoa_18,rtoa_19,rtoa_20,rtoa_21,quality_flags,TP_latitude,TP_longitude,OAA,OZA,SAA,SZA,atmospheric_temperature_profile_pressure_level_1,atmospheric_temperature_profile_pressure_level_2,atmospheric_temperature_profile_pressure_level_3,atmospheric_temperature_profile_pressure_level_4,atmospheric_temperature_profile_pressure_level_5,atmospheric_temperature_profile_pressure_level_6,atmospheric_temperature_profile_pressure_level_7,atmospheric_temperature_profile_pressure_level_8,atmospheric_temperature_profile_pressure_level_9,atmospheric_temperature_profile_pressure_level_10,atmospheric_temperature_profile_pressure_level_11,atmospheric_temperature_profile_pressure_level_12,atmospheric_temperature_profile_pressure_level_13,atmospheric_temperature_profile_pressure_level_14,atmospheric_temperature_profile_pressure_level_15,atmospheric_temperature_profile_pressure_level_16,atmospheric_temperature_profile_pressure_level_17,atmospheric_temperature_profile_pressure_level_18,atmospheric_temperature_profile_pressure_level_19,atmospheric_temperature_profile_pressure_level_20,atmospheric_temperature_profile_pressure_level_21,atmospheric_temperature_profile_pressure_level_22,atmospheric_temperature_profile_pressure_level_23,atmospheric_temperature_profile_pressure_level_24,atmospheric_temperature_profile_pressure_level_25,horizontal_wind_vector_1,horizontal_wind_vector_2,humidity,sea_level_pressure,total_columnar_water_vapour,total_ozone,quality_flags_land,quality_flags_coastline,quality_flags_fresh_inland_water,quality_flags_tidal_region,quality_flags_bright,quality_flags_straylight_risk,quality_flags_invalid,quality_flags_cosmetic,quality_flags_duplicated,quality_flags_sun_glint_risk,quality_flags_dubious,quality_flags_saturated_Oa01,quality_flags_saturated_Oa02,quality_flags_saturated_Oa03,quality_flags_saturated_Oa04,quality_flags_saturated_Oa05,quality_flags_saturated_Oa06,quality_flags_saturated_Oa07,quality_flags_saturated_Oa08,quality_flags_saturated_Oa09,quality_flags_saturated_Oa10,quality_flags_saturated_Oa11,quality_flags_saturated_Oa12,quality_flags_saturated_Oa13,quality_flags_saturated_Oa14,quality_flags_saturated_Oa15,quality_flags_saturated_Oa16,quality_flags_saturated_Oa17,quality_flags_saturated_Oa18,quality_flags_saturated_Oa19,quality_flags_saturated_Oa20,quality_flags_saturated_Oa21
0,1,pin_1,30.63811,-88.040349,120.5,44.5,13-07-2018,15:40:52,0.060961384,0.061744533,0.053001203,0.047622316,0.045165531,0.047555115,0.039542668,0.038123455,0.037291002,0.037660107,0.028980954,0.022632007,-0.003340752,0.005138411,0.018373353,0.021052517,0.014347264,0.012555326,0.004424749,-0.00134244,0.017163601,0.256662637,0.235629827,0.188102722,0.139009878,0.12336237,0.100766473,0.075200021,0.064963683,0.062777422,0.061998978,0.051338993,0.039255615,0.013517863,0.021428362,0.033956323,0.035656556,0.024015704,0.021402061,0.01283527,0.005800837,0.022094727,30.63927841,-88.04121399,99.4506073,48.4667511,97.84017181,31.87921906,301.3786926,297.3292542,295.7104187,294.2620544,291.4734802,288.4124146,281.9198303,275.4847412,267.3708191,255.5773315,241.1611938,230.9244385,219.4060516,206.4237823,203.0825653,209.9454498,214.2719879,219.6152802,222.4214783,233.2694855,235.6122742,242.294632,250.7953339,260.4207764,256.8807983,0.4142389,1.117575407,66.78380585,1019.61792,41.80546951,0.006753722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2,pin_2,30.656912,-88.01528,128.5,38.5,13-07-2018,15:40:52,0.06250374,0.062029641,0.055229221,0.051383279,0.050071493,0.054434355,0.047595844,0.046390437,0.045132156,0.045939628,0.038192444,0.027155444,-0.001862649,0.008091603,0.023145765,0.026578018,0.019309523,0.017194537,0.007364547,-0.001009671,0.02185878,0.257408738,0.235586524,0.189574435,0.141965285,0.127394512,0.106817231,0.082603112,0.072723925,0.07015942,0.069816969,0.060238171,0.043594033,0.014917185,0.02425497,0.03854727,0.040988415,0.028860094,0.025939189,0.01570821,0.006116781,0.026731761,8388608,30.65674591,-88.01501465,99.46007538,48.37539291,97.88529205,31.86052704,301.3414612,297.3106384,295.6763916,294.2618713,291.484375,288.4337158,281.8929749,275.4792786,267.3745422,255.5731354,241.1691437,230.9321594,219.3871155,206.4245911,203.1275024,209.9768219,214.2658386,219.6546173,222.4253082,233.3292084,235.5583496,242.295517,250.7933197,260.4259949,256.8681946,0.429357946,1.082175851,66.44932556,1019.618652,41.88731003,0.006752396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,pin_3,30.663179,-87.990212,136.5,36.5,13-07-2018,15:40:52,0.059078563,0.058067139,0.051215887,0.045774922,0.04445513,0.047076236,0.039875749,0.03855858,0.03771029,0.038288791,0.031908669,0.022604326,-0.002433073,0.005873896,0.01946087,0.022101985,0.015391763,0.013750047,0.005692821,-9.84E-04,0.014324574,0.254913926,0.232637018,0.186377615,0.137211666,0.122519262,0.100169592,0.075392902,0.06528651,0.063090801,0.062515661,0.054021791,0.039174404,0.014339588,0.022086101,0.034957241,0.036625784,0.025006903,0.022545112,0.014052938,0.006130571,0.019270001,8388608,30.66388702,-87.99079132,99.4704895,48.28406906,97.91311646,31.84149361,301.2941895,297.2837219,295.6476746,294.2678223,291.4939575,288.4498596,281.8818359,275.4822083,267.3782349,255.5683136,241.1734619,230.9368134,219.372406,206.4244232,203.1585541,209.9846039,214.2636414,219.6753845,222.4286041,233.3726044,235.5383759,242.2876892,250.7835083,260.4186096,256.8753662,0.445780158,1.089751601,66.07731628,1019.62146,41.87696838,0.006751815,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,pin_4,30.656912,-87.968277,143.5,38.5,13-07-2018,15:40:52,0.057803623,0.057868905,0.049793627,0.043896273,0.042189322,0.044022396,0.038227234,0.036943559,0.03660946,0.036853153,0.033196263,0.024424577,-0.002027326,0.006780202,0.020189857,0.023828939,0.017065505,0.01569343,0.0070362,-6.82E-04,0.016584398,0.253821194,0.232261837,0.185118496,0.135526732,0.120480508,0.09736158,0.073808149,0.063718297,0.062007032,0.061113469,0.055076949,0.040903978,0.014704154,0.022935402,0.03563701,0.03827586,0.026630446,0.024437409,0.015358441,0.006416077,0.021497259,30.65810776,-87.96905518,99.48206329,48.1927948,97.91925049,31.8220253,301.2182007,297.2356567,295.6333008,294.3027039,291.5061646,288.4613342,281.88974,275.4932861,267.3816833,255.5630035,241.1731567,230.9378815,219.3635254,206.4230652,203.1746216,209.9629974,214.2680206,219.6712494,222.4301605,233.3937836,235.5581207,242.2739868,250.7638245,260.39505,256.9077759,0.478996098,1.173903704,65.55764771,1019.62915,41.73051834,0.006752163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,5,pin_5,30.644378,-87.949476,149.5,42.5,13-07-2018,15:40:52,0.055406779,0.055398472,0.047359098,0.042186439,0.039852928,0.04102863,0.035282161,0.033335026,0.033069074,0.033297721,0.029029043,0.02160849,-0.003097198,0.005144109,0.017825324,0.020833958,0.014451748,0.012664874,0.005321571,-0.001054957,0.01427953,0.251994461,0.230330378,0.1831007,0.133979544,0.118381105,0.094606683,0.071022138,0.060268469,0.05861384,0.057699714,0.051237464,0.038158774,0.01364436,0.021328265,0.033324175,0.035348799,0.024054479,0.021451402,0.01366094,0.006037323,0.019209035,30.64456177,-87.94882202,99.4943161,48.10026169,97.91231537,31.80229378,301.188446,297.2058411,295.6361389,294.3211365,291.5016174,288.4551392,281.8999939,275.5075073,267.383728,255.5591278,241.1707916,230.9364014,219.3563843,206.4160614,203.1807251,209.9230347,214.2700195,219.6548157,222.4321289,233.3914337,235.609314,242.2639923,250.739151,260.3537598,256.9516296,0.534013748,1.236411214,65.56070709,1019.645142,41.60443878,0.006752916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,6,pin_6,30.631843,-87.930675,155.5,46.5,13-07-2018,15:40:52,0.055183552,0.055432513,0.047558628,0.042034987,0.039378759,0.041621596,0.035498604,0.033642028,0.03296737,0.033725664,0.02972558,0.022683384,-0.003670064,0.004666141,0.018298693,0.020723687,0.01113635,0.008991592,0.002426955,-0.002118806,0.013925464,0.251617998,0.230141968,0.183077186,0.133731663,0.11787273,0.09506005,0.0711715,0.060519334,0.058480669,0.058070444,0.052312165,0.039172214,0.013067635,0.020843312,0.033759661,0.035220858,0.020793598,0.017835068,0.010806629,0.004979819,0.018851601,8388608,30.63140678,-87.9313736,99.50513458,48.01877975,97.9040451,31.7849884,301.1878967,297.1890259,295.6375122,294.3217468,291.4897766,288.4425659,281.9083862,275.5191345,267.3851624,255.5563049,241.1685486,230.934494,219.3499146,206.4080353,203.1847687,209.8853302,214.2697296,219.6396027,222.43367,233.3840179,235.6598358,242.2583008,250.716629,260.3129272,256.9910583,0.58790344,1.262535214,65.80924988,1019.661804,41.52802658,0.006753596,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,pin_7,30.609908,-87.924408,157.5,53.5,13-07-2018,15:40:52,0.052870259,0.052292693,0.042512845,0.036357976,0.033500094,0.033672325,0.028551305,0.028673619,0.028077697,0.028948862,0.022690918,0.017833464,-0.004870897,0.002771414,0.014387271,0.016207621,0.008578246,0.006649668,8.82E-04,-0.002036809,0.010545555,0.249976337,0.227872357,0.179204687,0.128991634,0.11283724,0.087931439,0.064708866,0.055808831,0.053831995,0.053518418,0.045445945,0.034478106,0.011895034,0.01899958,0.029963518,0.030831957,0.018280618,0.015530542,0.009283223,0.005054693,0.015504403,30.60913086,-87.924263,99.51261902,47.97227097,97.87443542,31.77461624,301.147583,297.144989,295.6493835,294.3627014,291.487793,288.4300232,281.9367676,275.5314636,267.3856201,255.5542145,241.161911,230.9293823,219.3530884,206.4025421,203.1729126,209.8311157,214.2780914,219.6022491,222.4305725,233.35495,235.7294312,242.2535553,250.6917877,260.2711792,257.0429993,0.648722649,1.365594983,65.73023224,1019.678589,41.32488251,0.006755019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,8,pin_8,30.581707,-87.924408,157.5,62.5,13-07-2018,15:40:52,0.05042199,0.049562976,0.040335611,0.032247618,0.029205577,0.026319865,0.021391932,0.021770854,0.022177478,0.022488564,0.017953295,0.015993463,-0.005268982,0.001672162,0.012414686,0.014109838,0.007159044,0.005409737,6.02E-04,-0.002080115,0.010886735,0.248312369,0.225943893,0.177526847,0.125576705,0.10917414,0.081360109,0.058067404,0.04928631,0.048239116,0.047381174,0.040771756,0.032695748,0.011503945,0.017930966,0.028049298,0.028793044,0.016886955,0.014310671,0.00900396,0.00500911,0.015839752,30.58249092,-87.92371368,99.51773071,47.94907761,97.83349609,31.76893997,301.0878906,297.0945435,295.670929,294.421814,291.4910889,288.4205933,281.9762573,275.543396,267.3847351,255.5535431,241.15271,230.9225769,219.3619232,206.3987579,203.1521912,209.7692413,214.2910309,219.5556793,222.4250946,233.3119507,235.8088379,242.2497101,250.6677856,260.2290039,257.1011963,0.716761053,1.511418223,65.43094635,1019.692993,41.04333496,0.00675685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,9,pin_9,30.559772,-87.91814,159.5,69.5,13-07-2018,15:40:52,0.050776511,0.051291969,0.041309819,0.032551423,0.028677683,0.025611196,0.021520726,0.021877035,0.021984397,0.022245836,0.018614991,0.01723879,-0.004331554,0.002813075,0.014450416,0.015915601,0.010568557,0.009187706,0.003073131,-0.001524409,0.014538383,0.248443067,0.227034062,0.178179711,0.125772506,0.108680949,0.08069592,0.058164123,0.049369417,0.048040312,0.047135551,0.040970173,0.033886924,0.012398391,0.019023085,0.030008364,0.030533697,0.020219458,0.018010879,0.011425475,0.005551769,0.019448582,8388608,30.56061745,-87.91938782,99.52378082,47.91422653,97.80254364,31.76102448,301.053009,297.0761719,295.6830444,294.4376831,291.4873352,288.4171753,282.0108337,275.5517273,267.381958,255.5544128,241.1453247,230.9172363,219.3661499,206.3933716,203.1421967,209.7174988,214.2989655,219.5274658,222.4208069,233.2755127,235.8773193,242.2485352,250.6486511,260.184082,257.1560059,0.80991292,1.605044007,65.19859314,1019.703796,40.76486969,0.006758395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,pin_10,30.54097,-87.927541,156.5,75.5,13-07-2018,15:40:52,0.05079522,0.050738346,0.041055866,0.032902204,0.028720414,0.025178974,0.020517962,0.020615341,0.021256549,0.021728767,0.018784523,0.016625989,-0.004099913,0.00266934,0.014022805,0.015964517,0.010885976,0.00966814,0.003790711,-0.001435064,0.012479712,0.248519197,0.22671406,0.178037897,0.12609528,0.10874708,0.080332309,0.057250645,0.048190504,0.047362216,0.046655186,0.041064173,0.033302311,0.012628571,0.01889067,0.02960103,0.030586969,0.02053418,0.018485723,0.01213342,0.005642555,0.017414222,8388608,30.54076004,-87.92893219,99.522789,47.93759537,97.76512909,31.76523399,300.9925537,297.0874329,295.7117004,294.4433899,291.4911499,288.4281311,282.0515442,275.5585938,267.3744202,255.558136,241.1370087,230.9117737,219.3770752,206.3894043,203.125885,209.6774139,214.3091278,219.5029755,222.416153,233.2288513,235.9345856,242.246109,250.6450958,260.1533203,257.2021179,0.930657029,1.730052471,64.53688049,1019.705688,40.30887604,0.006760109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
